title,unique_id,run_time,metascore,genres,month,year,description,director,stars,netflix_id
Red State (2011),tt0873886,88,50,"Action,Crime,Horror,Thriller",3,2011,"Set in Middle America, a group of teens receive an online invitation for sex, though they soon encounter fundamentalists with a much more sinister agenda.",Kevin Smith,"Michael Parks,Melissa Leo,John Goodman,Michael Angarano",
Beastly (2011),tt1152398,86,40,"Drama,Fantasy,Romance",3,2011,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",Daniel Barnz,"Alex Pettyfer,Vanessa Hudgens,Mary-Kate Olsen,Justin Bradley",
Happythankyoumoreplease (2010),tt1481572,100,45,"Comedy,Drama,Romance",3,2011,"Captures a generational moment - young people on the cusp of truly growing up, tiring of their reflexive cynicism, each in their own ways struggling to connect and define what it means to love and be loved.",Josh Radnor,"Josh Radnor,Malin Akerman,Zoe Kazan,Michael Algieri",
Loong Boonmee raleuk chat (2010),tt1588895,114,87,"Drama,Fantasy",3,2011,"On his deathbed, Uncle Boonmee recalls his many past lives.",Apichatpong Weerasethakul,"Thanapat Saisaymar,Jenjira Pongpas,Sakda Kaewbuadee,Natthakarn Aphaiwonk",
I Saw the Devil (2010),tt1588170,141,67,"Crime,Drama,Horror,Thriller",3,2011,A secret agent exacts revenge on a serial killer through a series of captures and releases.,Jee-woon Kim,"Byung-hun Lee,Min-sik Choi,In-seo Kim,Ho-jin Chun",
Abel (2010),tt1479668,82,,"Comedy,Drama",3,2011,"About a peculiar young boy who, as he blurs reality and fantasy, takes over the responsibilities of a family man in his father's absence.",Diego Luna,"Christopher Ruíz-Esparza,Karina Gidi,José María Yazpik,Carlos Aragón",
Battle Los Angeles (2011),tt1217613,116,37,"Action,Sci-Fi",3,2011,A squadron of U.S. Marines becomes the last line of defense against a global invasion.,Jonathan Liebesman,"Aaron Eckhart,Michelle Rodriguez,Bridget Moynahan,Ramon Rodriguez",
Jane Eyre (2011),tt1229822,120,76,"Drama,Romance",3,2011,A mousy governess who softens the heart of her employer soon discovers that he's hiding a terrible secret.,Cary Joji Fukunaga,"Mia Wasikowska,Michael Fassbender,Jamie Bell,Su Elliot",70142825
Red Riding Hood (2011),tt1486185,100,29,"Fantasy,Horror,Mystery,Thriller",3,2011,"Set in a medieval village that is haunted by a werewolf, a young girl falls for an orphaned woodcutter, much to her family's displeasure.",Catherine Hardwicke,"Amanda Seyfried,Lukas Haas,Gary Oldman,Billy Burke",
Mars Needs Moms (2011),tt1305591,88,49,"Animation,Action,Adventure,Comedy,Family,Sci-Fi",3,2011,A young boy named Milo gains a deeper appreciation for his mom after Martians come to Earth to take her away.,Simon Wells,"Seth Green,Joan Cusack,Dan Fogler,Elisabeth Harnois",
Certified Copy (2010),tt1020773,106,82,Drama,3,2011,"In Tuscany to promote his latest book, a middle-aged British writer meets a French woman who leads him to the village of Lucignano. While there, a chance question reveals something deeper.",Abbas Kiarostami,"Juliette Binoche,William Shimell,Jean-Claude Carrière,Agathe Natanson",
Black Death (2010),tt1181791,102,71,"Action,Adventure,Drama,History,Horror,Mystery",3,2011,"Set during the time of the first outbreak of bubonic plague in England, a young monk is given the task of learning the truth about reports of people being brought back to life in a small village.",Christopher Smith,"Eddie Redmayne,Sean Bean,Carice van Houten,Kimberley Nixon",70122631
Kill the Irishman (2011),tt1416801,106,50,"Action,Biography,Crime,Drama,Thriller",3,2011,"The true story of Danny Greene, a tough Irish thug working for mobsters in Cleveland during the 1970's.",Jonathan Hensleigh,"Ray Stevenson,Christopher Walken,Vincent D'Onofrio,Val Kilmer",
Limitless (2011),tt1219289,105,59,"Mystery,Sci-Fi,Thriller",3,2011,"With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.",Neil Burger,"Bradley Cooper,Anna Friel,Abbie Cornish,Robert De Niro",
Paul (2011),tt1092026,104,57,"Adventure,Comedy,Sci-Fi",3,2011,Two British comic-book geeks traveling across the U.S. encounter an alien outside Area 51.,Greg Mottola,"Simon Pegg,Nick Frost,Seth Rogen,Mia Stallard",
The Lincoln Lawyer (2011),tt1189340,118,63,"Crime,Drama,Thriller",3,2011,A defense attorney has a crisis of conscience when he represents a wealthy client who has a foolproof plan to beat the system.,Brad Furman,"Matthew McConaughey,Marisa Tomei,Ryan Phillippe,William H. Macy",
Sucker Punch (2011),tt0978764,110,33,"Action,Adventure,Fantasy",3,2011,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility.",Zack Snyder,"Emily Browning,Vanessa Hudgens,Abbie Cornish,Jena Malone",
Diary of a Wimpy Kid: Rodrick Rules (2011),tt1650043,99,51,"Comedy,Family",3,2011,"Back in middle school after summer vacation, Greg Heffley and his older brother Rodrick must deal with their parents' misguided attempts to have them bond.",David Bowers,"Zachary Gordon,Devon Bostick,Robert Capron,Rachael Harris",
Miral (2010),tt1366409,112,45,Drama,3,2011,A drama centered on an orphaned Palestinian girl growing up in the wake of Arab-Israeli war who finds herself drawn into the conflict.,Julian Schnabel,"Freida Pinto,Hiam Abbass,Willem Dafoe,Asma Al Shiukhy",
Potiche (2010),tt1521848,103,68,Comedy,3,2011,"When her husband is taken hostage by his striking employees, a trophy wife (Deneuve) takes the reins of the family business and proves to be a remarkably effective leader. Business and personal complications arrive in the form of her ex-lover (Depardieu), a former union leader.",François Ozon,"Catherine Deneuve,Gérard Depardieu,Fabrice Luchini,Karin Viard",
Peep World (2010),tt1103273,79,27,"Comedy,Drama",3,2011,Four siblings implode after the release of a book written about them.,Barry W. Blaustein,"Michael C. Hall,Sarah Silverman,Rainn Wilson,Lewis Black",70120144
White Irish Drinkers (2010),tt1550524,109,51,Drama,3,2011,"Brooklyn, 1975: two brothers looking for a way out of their working-class neighborhood make a pact to rob a local theater on the night of a Rolling Stones concert.",John Gray,"Nick Thurston,Geoffrey Wigdor,Stephen Lang,Karen Allen",
Source Code (2011),tt0945513,93,74,"Mystery,Sci-Fi,Thriller",4,2011,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train. A mission he has only 8 minutes to complete.,Duncan Jones,"Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,Jeffrey Wright",
Insidious (2010),tt1591095,103,52,"Drama,Horror,Mystery,Thriller",4,2011,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,James Wan,"Patrick Wilson,Rose Byrne,Ty Simpkins,Lin Shaye",
Super (2010),tt1512235,96,50,"Comedy,Crime",4,2011,"After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, but lacking in heroic skills.",James Gunn,"Rainn Wilson,Ellen Page,Liv Tyler,Kevin Bacon",70135881
Hop (2011),tt1411704,95,41,"Animation,Adventure,Comedy,Family,Fantasy",4,2011,"E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.",Tim Hill,"Russell Brand,James Marsden,Elizabeth Perkins,Kaley Cuoco",
In a Better World (2010),tt1340107,119,65,Drama,4,2011,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",Susanne Bier,"Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson",
Cat Run (2011),tt1446147,102,33,"Action,Comedy",4,2011,"When a sexy, high-end escort holds the key evidence to a scandalous government cover-up, two bumbling young detectives become her unlikely protectors from a ruthless assassin hired to silence her.",John Stockwell,"Paz Vega,Janet McTeer,Christopher McDonald,Alphonso McAuley",
Rubber (2010),tt1612774,82,59,"Comedy,Horror",4,2011,"A homicidal car tire, discovering it has destructive psionic power, sets its sights on a desert town once a mysterious woman becomes its obsession.",Quentin Dupieux,"Stephen Spinella,Roxane Mesquida,Wings Hauser,Jack Plotnick",70142800
Trust (2010),tt1529572,106,60,"Crime,Drama,Thriller",4,2011,A teenage girl is targeted by an online sexual predator.,David Schwimmer,"Clive Owen,Catherine Keener,Liana Liberato,Jason Clarke",
Your Highness (2011),tt1240982,102,31,"Adventure,Comedy,Fantasy",4,2011,"When Prince Fabious's bride is kidnapped, he goes on a quest to rescue her... accompanied by his lazy useless brother Thadeous.",David Gordon Green,"Danny McBride,Natalie Portman,James Franco,Rasmus Hardiker",
Hanna (2011),tt0993842,111,65,"Action,Adventure,Thriller",4,2011,"A sixteen-year-old girl who was raised by her father to be the perfect assassin is dispatched on a mission across Europe, tracked by a ruthless intelligence agent and her operatives.",Joe Wright,"Saoirse Ronan,Cate Blanchett,Eric Bana,Vicky Krieps",
Arthur (2011),tt1334512,110,36,"Comedy,Romance",4,2011,A drunken playboy stands to lose a wealthy inheritance when he falls for a woman his family doesn't like.,Jason Winer,"Russell Brand,Helen Mirren,Jennifer Garner,Greta Gerwig",
Born to Be Wild (2011),tt1680059,40,66,"Documentary,Short,Adventure",4,2011,This heartwarming film documents orphaned orangutans and elephants and the extraordinary people who rescue and raise them-saving endangered species one life at a time.,David Lickley,"Birute Galdikas,Daphne Sheldrick,Morgan Freeman,Chris Fries",
Soul Surfer (2011),tt1596346,106,53,"Biography,Drama,Sport",4,2011,Teenage surfer Bethany Hamilton overcomes the odds and her own fears of returning to the water after losing her left arm in a shark attack.,Sean McNamara,"AnnaSophia Robb,Dennis Quaid,Helen Hunt,Carrie Underwood",
Meek's Cutoff (2010),tt1518812,104,85,"Drama,Western",4,2011,Settlers traveling through the Oregon desert in 1845 find themselves stranded in harsh conditions.,Kelly Reichardt,"Michelle Williams,Bruce Greenwood,Paul Dano,Will Patton",
Ceremony (2010),tt1341341,89,40,"Comedy,Romance",4,2011,"Two friends are off on a weekend outing. Marshall thinks the trip is to re-establish their friendship, but Sam has ulterior motives in mind as he crashes the wedding of a woman he still loves.",Max Winkler,"Michael Angarano,Uma Thurman,Reece Thompson,Lee Pace",
Scream 4 (2011),tt1262416,111,52,"Horror,Mystery",4,2011,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",Wes Craven,"Neve Campbell,Courteney Cox,David Arquette,Lucy Hale",
Rio (2011),tt1436562,96,63,"Animation,Adventure,Comedy,Family,Musical",4,2011,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams.",Carlos Saldanha,"Jesse Eisenberg,Anne Hathaway,George Lopez,Karen Disher",
Henry's Crime (2010),tt1220888,108,49,"Comedy,Crime,Drama,Romance",4,2011,"Released from prison for a crime he didn't commit, an ex-con targets the same bank he was sent away for robbing.",Malcolm Venville,"Keanu Reeves,Vera Farmiga,James Caan,Judy Greer",
The Conspirator (2010),tt0968264,122,55,"Crime,Drama,History",4,2011,"Mary Surratt is the lone female charged as a co-conspirator in the assassination trial of Abraham Lincoln. As the whole nation turns against her, she is forced to rely on her reluctant lawyer to uncover the truth and save her life.",Robert Redford,"Robin Wright,James McAvoy,Tom Wilkinson,Kevin Kline",
Water for Elephants (2011),tt1067583,120,52,"Drama,Romance",4,2011,"Set in the 1930s, a former veterinary student takes a job in a traveling circus and falls in love with the ringmaster's wife.",Francis Lawrence,"Robert Pattinson,Reese Witherspoon,Christoph Waltz,Paul Schneider",
Madea's Big Happy Family (2011),tt1787759,106,45,"Comedy,Drama",4,2011,"The crazy and comical Mabel Simmoms, otherwise known as Madea, tries to wrangle her fighting family together for a family dinner regarding the health of her niece Shirley.",Tyler Perry,"Tyler Perry,Loretta Devine,Shad Moss,Cassi Davis",
The Greatest Movie Ever Sold (2011),tt1743720,90,66,"Documentary,Comedy",4,2011,"A documentary about branding, advertising and product placement that is financed and made possible by brands, advertising and product placement.",Morgan Spurlock,"J.J. Abrams,Peter Berg,Paul Brennan,Noam Chomsky",
African Cats (2011),tt1223236,89,61,"Documentary,Adventure",4,2011,A nature documentary centered on two cat families and how they teach their cubs the ways of the wild.,Alastair Fothergill,"Samuel L. Jackson,Patrick Stewart",
